CATEGORY;OEM;BRAND;MODEL;YEAR;GENERATION;GEN_START;GEN_END;ENGINE;ENGINE_VOLUME;ENGINE_TYPE;BODY_TYPE;TRANSMISSION;PRODUCT_CATEGORY;TITLE;ID;STATE;DESCRIPTION;PRICE;CURRENCY;NDS;DISCOUNT;CITY;PHONE;PHOTO;VIDEO;IMPORTER
Датчик удара;8k0973323s;"Volkswagen";Passat CC;2010;I;;;;;;;;;;AV153565228;0;"Датчик удара для Volkswagen Passat CC 2010 года и других автомобилей концерна VAG. Номер запчасти: 8k0973323s";15;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1178.jpg,https://avcdn.av.by/advertmedium/0011/6798/1259.jpg";;
Внешняя ручка двери передней левой;3c8837113a;"Volkswagen";Passat CC;2011;I;;;;;;;;;;AV156542068;0;;15;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1623.jpg,https://avcdn.av.by/advertmedium/0011/6798/1718.jpg,https://avcdn.av.by/advertmedium/0011/6798/1773.jpg";;
Кнопка стеклоподъемника переднего правого;A2038200210;"Mercedes-Benz";C-Класс;2004;W203, S203, CL203;;;Дизель;2200;;;;;;AV101207605;0;Цена за штуку;15;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1278.jpg,https://avcdn.av.by/advertmedium/0011/6798/1393.jpg,https://avcdn.av.by/advertmedium/0011/6798/1473.jpg";;
Кронштейн топливного фильтра;a6420920040;"Mercedes-Benz";M-Класс;2006;W164;;;;;;;;;;AV154730504;0;Европа. Оригинал.;15;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1618.jpg";;
Проводка двери;7h0971157,7h0971157B;"Volkswagen";"Transporter";2004;T5;;;;;;;;;;AV153814506;0;"Проводка двери для Volswagen Transporter T5. Номер запчасти: 7h0971157B";15;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1165.jpg";;
Реле прочее;5KH00415404;Audi;80;1991;B4;;;;;;;;;;AV97161924;0;"Germany. Das Auto";18;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1198.jpg,https://avcdn.av.by/advertmedium/0011/6798/1308.jpg,https://avcdn.av.by/advertmedium/0011/6798/1408.jpg";;
Датчик загрязнения воздуха;2118300472;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;;;;AV108391757;0;;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1385.jpg,https://avcdn.av.by/advertmedium/0011/6798/1478.jpg";;
Воздухозаборник;A6480940097;"Mercedes-Benz";S-Класс;;W220;;;Дизель;3200;;;;;;AV153928495;0;;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1158.jpg,https://avcdn.av.by/advertmedium/0011/6798/1252.jpg";;
Пластик;A2128891025;"Mercedes-Benz";E-Класс;2013;W212, S212, C207, A207;;;;;;;;;;AV95726123;0;Заглушка петли капота;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1094.jpg,https://avcdn.av.by/advertmedium/0011/6798/1218.jpg,https://avcdn.av.by/advertmedium/0011/6798/1348.jpg";;
Замок ремня безопасности;3C0857756;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV100205014;0;;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1523.jpg,https://avcdn.av.by/advertmedium/0011/6798/1723.jpg";;
Пластик салона;;"Volkswagen";Golf;1994;III;;;Бензин;1400;;;;;;AV103787604;0;Цена за один элемент. Комплектом дешевле . Хэтчбек 5 дверей.;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1343.jpg,https://avcdn.av.by/advertmedium/0011/6798/1466.jpg";;
Кнопка центрального замка;A2218213151;"Mercedes-Benz";S-Класс;;W221;;;;;;;;;;AV104770116;0;;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1123.jpg,https://avcdn.av.by/advertmedium/0011/6798/1249.jpg,https://avcdn.av.by/advertmedium/0011/6798/1373.jpg";;
Датчик ускорения;A9065420518;"Volkswagen";"Crafter";2008;;;;;;;;;;;AV107026946;0;;24;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1108.jpg";;
Сирена;89040F4010;Toyota;C-HR;2018;I;;;;;;;;;;AV104503538;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1068.jpg,https://avcdn.av.by/advertmedium/0011/6798/1150.jpg";;
Патрубок интеркулера;;"Mercedes-Benz";M-Класс;2008;W164;;;Дизель;3000;;;;;;AV149686616;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1048.jpg,https://avcdn.av.by/advertmedium/0011/6798/1151.jpg";;
Сирена;284874BA0A;"Nissan";Qashqai;2014;I · Рестайлинг;;;;;;;;;;AV105353691;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0943.jpg,https://avcdn.av.by/advertmedium/0011/6798/1043.jpg,https://avcdn.av.by/advertmedium/0011/6798/1138.jpg";;
Кнопка стеклоподъемника;A2049058102;"Mercedes-Benz";C-Класс;2015;W204, S204 · Рестайлинг;;;;;;;;;;AV104503520;0;Цена за штуку;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1033.jpg,https://avcdn.av.by/advertmedium/0011/6798/1130.jpg";;
Моторчик заслонки печки;K9749006,412650750;Audi;A4;2013;B8 · Рестайлинг;;;;;;;;;;AV96674464_2;0;Оригинальная запчасть из Европы. Цена за одну штуку.;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0878.jpg,https://avcdn.av.by/advertmedium/0011/6798/0983.jpg,https://avcdn.av.by/advertmedium/0011/6798/1088.jpg,https://avcdn.av.by/advertmedium/0011/6798/1213.jpg,https://avcdn.av.by/advertmedium/0011/6798/1333.jpg";;
Моторчик заслонки печки;K9749006,412650750;"Mercedes-Benz";S-Класс;;W221;;;;;;;;;;AV96674464;0;Оригинальная запчасть из Европы. Цена за одну штуку.;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0908.jpg,https://avcdn.av.by/advertmedium/0011/6798/1008.jpg,https://avcdn.av.by/advertmedium/0011/6798/1113.jpg,https://avcdn.av.by/advertmedium/0011/6798/1243.jpg,https://avcdn.av.by/advertmedium/0011/6798/1363.jpg";;
Датчик сигнализации;4F0962109;Audi;A5;2008;8T;;;;;;;;;;AV152518645;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0838.jpg,https://avcdn.av.by/advertmedium/0011/6798/0933.jpg,https://avcdn.av.by/advertmedium/0011/6798/1023.jpg";;
Джойстик регулировки зеркал;1K0959565L;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV107277725;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0863.jpg,https://avcdn.av.by/advertmedium/0011/6798/0958.jpg,https://avcdn.av.by/advertmedium/0011/6798/1063.jpg";;
Замок ремня безопасности;3C0857739B;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV100204692;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0858.jpg,https://avcdn.av.by/advertmedium/0011/6798/0953.jpg";;
Трос двери передней;;Skoda;"Superb";2009;II;;;;;;;;;;AV152094975;0;цена за штуку;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0848.jpg,https://avcdn.av.by/advertmedium/0011/6798/0963.jpg,https://avcdn.av.by/advertmedium/0011/6798/1080.jpg";;
Внутренняя ручка двери задней левой;;"Volkswagen";Passat;2006;B6;;;;;;;;;;AV152096073;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1073.jpg,https://avcdn.av.by/advertmedium/0011/6798/1143.jpg,https://avcdn.av.by/advertmedium/0011/6798/1233.jpg";;
Моторчик стеклоподъемника передний левый;8K0959801;Skoda;"Superb";2009;II;;;;;;;;;;AV152094995;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0888.jpg,https://avcdn.av.by/advertmedium/0011/6798/0993.jpg";;
Молдинг задней левой двери;;"Volkswagen";Passat;2006;B6;;;;;;;;;;AV152094947;0;Под стекло;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0798.jpg";;
Поворотник левый;;Mitsubishi;"Lancer";1994;V;;;Бензин;1300;;;;;;AV106827601;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0973.jpg,https://avcdn.av.by/advertmedium/0011/6798/1098.jpg,https://avcdn.av.by/advertmedium/0011/6798/1228.jpg,https://avcdn.av.by/advertmedium/0011/6798/1359.jpg,https://avcdn.av.by/advertmedium/0011/6798/1503.jpg";;
Поворотник правый;;Mitsubishi;"Lancer";1994;V;;;Бензин;1300;;;;;;AV106827599;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0918.jpg,https://avcdn.av.by/advertmedium/0011/6798/1038.jpg,https://avcdn.av.by/advertmedium/0011/6798/1169.jpg,https://avcdn.av.by/advertmedium/0011/6798/1285.jpg";;
Замок капота;;"Renault";"Master";2019;;;;;;;;;;;AV151961821;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0868.jpg,https://avcdn.av.by/advertmedium/0011/6798/0968.jpg";;
Крепление заднего бампера;3C9807393;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV151388646;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0778.jpg,https://avcdn.av.by/advertmedium/0011/6798/0928.jpg,https://avcdn.av.by/advertmedium/0011/6798/1058.jpg";;
Дождевик;9680337880;Peugeot;308;2009;T7;;;;;;;;;;AV151388595;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0768.jpg,https://avcdn.av.by/advertmedium/0011/6798/0833.jpg";;
Крепление заднего бампера;3C5807863;"Volkswagen";Passat;2006;B6;;;;;;;;;;AV151388539;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0723.jpg,https://avcdn.av.by/advertmedium/0011/6798/0813.jpg,https://avcdn.av.by/advertmedium/0011/6798/0898.jpg,https://avcdn.av.by/advertmedium/0011/6798/0978.jpg";;
Крепление заднего бампера;3C9807863;"Volkswagen";Passat;2009;B6;;;;;;;;;;AV151388525;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0804.jpg,https://avcdn.av.by/advertmedium/0011/6798/0948.jpg,https://avcdn.av.by/advertmedium/0011/6798/1081.jpg,https://avcdn.av.by/advertmedium/0011/6798/1183.jpg";;
Воздухозаборник;3C0121330;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV151388506;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1273.jpg,https://avcdn.av.by/advertmedium/0011/6798/1353.jpg,https://avcdn.av.by/advertmedium/0011/6798/1423.jpg";;
Механический стеклоподъемник;;"Volkswagen";Passat;2006;B6;;;;;;;;;;AV151388294;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0658.jpg,https://avcdn.av.by/advertmedium/0011/6798/0743.jpg";;
Защита заднего бампера;;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV151388432;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1118.jpg,https://avcdn.av.by/advertmedium/0011/6798/1238.jpg,https://avcdn.av.by/advertmedium/0011/6798/1322.jpg,https://avcdn.av.by/advertmedium/0011/6798/1413.jpg,https://avcdn.av.by/advertmedium/0011/6798/1483.jpg,https://avcdn.av.by/advertmedium/0011/6798/1585.jpg";;
Масляная трубка турбины;04E145140H;"Volkswagen";Passat;2017;B8;;;Бензин;1400;;;;;;AV150765241;0;;27;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0738.jpg,https://avcdn.av.by/advertmedium/0011/6798/0828.jpg,https://avcdn.av.by/advertmedium/0011/6798/0938.jpg";;
Ограничитель открывания двери передней;;"Mercedes-Benz";E-Класс;2008;W211, S211 · Рестайлинг;;;Дизель;3200;;;;;;AV107470591;0;Левый;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0688.jpg,https://avcdn.av.by/advertmedium/0011/6798/0793.jpg,https://avcdn.av.by/advertmedium/0011/6798/0903.jpg,https://avcdn.av.by/advertmedium/0011/6798/1003.jpg";;
Блок управления дверями;"7n0959794,7n0959795";Skoda;"Superb";2010;II;;;;;;;;;;AV157266288;0;Европа, оригинал;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0748.jpg,https://avcdn.av.by/advertmedium/0011/6798/0823.jpg";;
Крышка блока предохранителей;1K0937132F,1K0937132G;"Volkswagen";Passat;2012;B7;;;;;;;;;;AV155193511;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0625.jpg,https://avcdn.av.by/advertmedium/0011/6798/0718.jpg,https://avcdn.av.by/advertmedium/0011/6798/0818.jpg,https://avcdn.av.by/advertmedium/0011/6798/0923.jpg,https://avcdn.av.by/advertmedium/0011/6798/1053.jpg";;
Освещение номерного знака;4G0943021;Audi;Q5;2013;8R · Рестайлинг;;;;;;;;;;AV152738312;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0618.jpg";;
Кулак задний правый;;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV101787135;0;Дефект подшипника;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0655.jpg,https://avcdn.av.by/advertmedium/0011/6798/0763.jpg";;
Блок управления двери задней правой;2118201626;"Mercedes-Benz";E-Класс;2004;W211, S211;;;Дизель;3200;;;АКПП;;;AV107034109;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0713.jpg";;
Патрубок воздушного фильтра;A6480940097;"Mercedes-Benz";S-Класс;;W220;;;Дизель;3200;;;;;;AV103092988;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0603.jpg,https://avcdn.av.by/advertmedium/0011/6798/0703.jpg";;
Внутренняя ручка двери задней правой;A2207660864;"Mercedes-Benz";S-Класс;2002;W220;;;Дизель;3200;;;АКПП;;;AV103062011;0;Европа. Левый руль;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/1208.jpg,https://avcdn.av.by/advertmedium/0011/6798/1327.jpg,https://avcdn.av.by/advertmedium/0011/6798/1428.jpg";;
Кнопка корректора фар;7E0941333;"Volkswagen";"Transporter";2009;T5;;;Дизель;2500;;;;;;AV94973179;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0593.jpg,https://avcdn.av.by/advertmedium/0011/6798/0678.jpg";;
Активатор замка багажника;905550BU000;"Nissan";"Almera Tino";2000;I;;;Дизель;2200;;;;;;AV101678586;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0513.jpg,https://avcdn.av.by/advertmedium/0011/6798/0612.jpg,https://avcdn.av.by/advertmedium/0011/6798/0728.jpg";;
Моторчик заслонки печки;A7583;"Mercedes-Benz";S-Класс;;W220;;;Дизель;3200;;;;;;AV102903290;0;Европа. Левый руль;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0373.jpg,https://avcdn.av.by/advertmedium/0011/6798/0518.jpg";;
Патрубок интеркулера;;"Nissan";"Almera Tino";2002;I;;;Дизель;2200;;;;;;AV101740282;0;Стоимость указана за 1 единицу. Возможна продажа комплектом.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0489.jpg,https://avcdn.av.by/advertmedium/0011/6798/0598.jpg,https://avcdn.av.by/advertmedium/0011/6798/0693.jpg,https://avcdn.av.by/advertmedium/0011/6798/0783.jpg,https://avcdn.av.by/advertmedium/0011/6798/0873.jpg,https://avcdn.av.by/advertmedium/0011/6798/1203.jpg";;
Обшивка двери задней правой;3C8867242,3C8867241;"Volkswagen";Passat CC;2013;I · Рестайлинг;;;;;;;;;;AV155124395;0;3C8867242. цена за штуку;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0344.jpg,https://avcdn.av.by/advertmedium/0011/6798/0413.jpg,https://avcdn.av.by/advertmedium/0011/6798/0492.jpg,https://avcdn.av.by/advertmedium/0011/6798/0568.jpg";;
Внутренняя ручка двери задней левой;A2207660764;"Mercedes-Benz";S-Класс;2002;W220;;;Дизель;3200;;;АКПП;;;AV103059191;0;Европа. Левый руль.;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0478.jpg,https://avcdn.av.by/advertmedium/0011/6798/0588.jpg,https://avcdn.av.by/advertmedium/0011/6798/0673.jpg";;
Внешняя ручка двери задней левой;9672961180;Peugeot;308;2012;T7 · Рестайлинг;;;;;;;;;;AV103407350;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0388.jpg,https://avcdn.av.by/advertmedium/0011/6798/0538.jpg,https://avcdn.av.by/advertmedium/0011/6798/0683.jpg,https://avcdn.av.by/advertmedium/0011/6798/0843.jpg";;
Накладка замка багажника;A2207500493;"Mercedes-Benz";S-Класс;;W220;;;Дизель;3200;;;АКПП;;;AV101222646;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0363.jpg,https://avcdn.av.by/advertmedium/0011/6798/0483.jpg";;
Обшивка двери задней левой;3C8867241,3C8867242;"Volkswagen";Passat CC;2013;I · Рестайлинг;;;;;;;;;;AV155124381;0;3C8867241 . цена за штуку;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0357.jpg,https://avcdn.av.by/advertmedium/0011/6798/0423.jpg,https://avcdn.av.by/advertmedium/0011/6798/0498.jpg,https://avcdn.av.by/advertmedium/0011/6798/0573.jpg";;
Педаль газа;1K1723503AA;"Volkswagen";Passat CC;2011;I;;;Бензин;2000;;;АКПП;;;AV154700153;0;Европа. левый руль;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0368.jpg,https://avcdn.av.by/advertmedium/0011/6798/0463.jpg,https://avcdn.av.by/advertmedium/0011/6798/0528.jpg";;
Насос омывателя стекла;1J0973722A;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV104410102;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0448.jpg,https://avcdn.av.by/advertmedium/0011/6798/0583.jpg";;
Блок управления двери передней левой;2118201585;"Mercedes-Benz";E-Класс;2008;W211, S211 · Рестайлинг;;;Дизель;3200;;;АКПП;;;AV107470580;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0468.jpg,https://avcdn.av.by/advertmedium/0011/6798/0633.jpg";;
Клапан электромагнитный;1K0906283A;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV104409332;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0437.jpg,https://avcdn.av.by/advertmedium/0011/6798/0668.jpg";;
Молдинг (накладка кузовная), Кузова;A9066900262;"Volkswagen";"Crafter";2013;;;;;;;;;;;AV105602035;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0393.jpg,https://avcdn.av.by/advertmedium/0011/6798/0508.jpg,https://avcdn.av.by/advertmedium/0011/6798/0609.jpg";;
Замок капота;A2208800060;"Mercedes-Benz";S-Класс;2000;W220;;;;;;;;;;AV96875506;0;Отличное состояние;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0379.jpg,https://avcdn.av.by/advertmedium/0011/6798/0523.jpg,https://avcdn.av.by/advertmedium/0011/6798/0648.jpg";;
Левый передний подкрылок;;Audi;80;1988;B3;;;Бензин;1800;;;;;;AV105353457;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0298.jpg,https://avcdn.av.by/advertmedium/0011/6798/0434.jpg,https://avcdn.av.by/advertmedium/0011/6798/0533.jpg,https://avcdn.av.by/advertmedium/0011/6798/0626.jpg";;
Пепельница;A2208100830;"Mercedes-Benz";S-Класс;;W220;;;;;;;;;;AV96650736;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0266.jpg,https://avcdn.av.by/advertmedium/0011/6798/0318.jpg,https://avcdn.av.by/advertmedium/0011/6798/0453.jpg,https://avcdn.av.by/advertmedium/0011/6798/0543.jpg,https://avcdn.av.by/advertmedium/0011/6798/0643.jpg,https://avcdn.av.by/advertmedium/0011/6798/0733.jpg";;
Крышка топливного бака;3aa201553c;"Volkswagen";Passat;2015;B8;;;;;;;;;;AV153807396;0;"Пробка топливного бака к Volkswagen Passat B8, Skoda Superb 3, Audi A6 C7, Volkswagen Golf, Passat CC и др. Номер запчасти: 3aa201553c";30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0302.jpg,https://avcdn.av.by/advertmedium/0011/6798/0403.jpg";;
Молдинг задней левой двери;3T5839901;Skoda;"Superb";2009;II;;;;;;;;;;AV101214704;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0338.jpg,https://avcdn.av.by/advertmedium/0011/6798/0458.jpg";;
Индикатор подушки безопасности;3c0919234a;"Volkswagen";Passat;2006;B6;;;;;;;;;;AV156299446;0;Европа, оригинал. В хорошем состоянии.;10;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0253.jpg";;
Замок капота;A2208800060;"Mercedes-Benz";S-Класс;;W220;;;Дизель;3200;;;АКПП;;;AV102709487;0;Европа. Левый руль;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0273.jpg,https://avcdn.av.by/advertmedium/0011/6798/0443.jpg,https://avcdn.av.by/advertmedium/0011/6798/0638.jpg";;
Внутренняя ручка двери передней правой;A2207660664;"Mercedes-Benz";S-Класс;;W220;;;Дизель;3200;;;;;;AV103452653;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0168.jpg,https://avcdn.av.by/advertmedium/0011/6798/0354.jpg";;
Накладка порога;3C0853856B;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV100205550;0;Правый;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0198.jpg,https://avcdn.av.by/advertmedium/0011/6798/0328.jpg,https://avcdn.av.by/advertmedium/0011/6798/0428.jpg";;
Накладка левого зеркала заднего вида;1k0858547,1k0858548;"Volkswagen";Passat CC;2010;I;;;;;;;;;;AV154699557;0;Европа, оригинал;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0118.jpg,https://avcdn.av.by/advertmedium/0011/6798/0238.jpg";;
Замок ремня безопасности;;Peugeot;308;2009;T7;;;Бензин;1600;;;;;;AV101582829;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0193.jpg,https://avcdn.av.by/advertmedium/0011/6798/0408.jpg,https://avcdn.av.by/advertmedium/0011/6798/0553.jpg";;
Кнопка открывания багажника;8K0959831,8T2959830;Audi;A4;2010;B8;;;Дизель;2000;;;;;;AV94973165;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0113.jpg,https://avcdn.av.by/advertmedium/0011/6798/0218.jpg,https://avcdn.av.by/advertmedium/0011/6798/0283.jpg";;
Крепление переднего бампера;3C0807506;"Volkswagen";Passat;2008;B6;;;;;;;;;;AV104380396;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0098.jpg,https://avcdn.av.by/advertmedium/0011/6798/0143.jpg,https://avcdn.av.by/advertmedium/0011/6798/0208.jpg";;
Датчик ускорения;a0065422618;"Mercedes-Benz";GLE;2017;W166;;;;;;;;;;AV157265901;0;Хорошее состояние;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0133.jpg,https://avcdn.av.by/advertmedium/0011/6798/0183.jpg,https://avcdn.av.by/advertmedium/0011/6798/0343.jpg";;
Накладка левого зеркала заднего вида;1k0858548,1k0858547;"Volkswagen";Passat CC;2010;I;;;;;;;;;;AV154699556;0;Европа, оригинал;21;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0418.jpg,https://avcdn.av.by/advertmedium/0011/6798/0503.jpg";;
Патрубок (трубопровод, шланг);FPLA7752CC;"Land Rover";"Range Rover Sport";;II;;;;3000;;;;;;AV97138923;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0078.jpg,https://avcdn.av.by/advertmedium/0011/6798/0213.jpg,https://avcdn.av.by/advertmedium/0011/6798/0335.jpg";;
Патрубок (трубопровод, шланг);5Q0122063;Skoda;Octavia;2017;III;;;Бензин;1400;;;;;;AV98664170;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0073.jpg,https://avcdn.av.by/advertmedium/0011/6798/0148.jpg";;
Кнопка стеклоподъемника;A2218706051;"Mercedes-Benz";S-Класс;2006;W221;;;;;;;;;;AV104975849;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0128.jpg,https://avcdn.av.by/advertmedium/0011/6798/0265.jpg";;
Блок иммобилайзера;AH4N15607;"Land Rover";"Range Rover Sport";2015;II;;;;;;;;;;AV98184680;0;Оригинал. Хорошее состояние;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0043.jpg,https://avcdn.av.by/advertmedium/0011/6798/0228.jpg,https://avcdn.av.by/advertmedium/0011/6798/0293.jpg,https://avcdn.av.by/advertmedium/0011/6798/0398.jpg";;
Крышка (заглушка) задняя фары левой;1305239222;"Mercedes-Benz";S-Класс;2002;W220;;;Дизель;3200;;;АКПП;;;AV94973160;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6798/0063.jpg,https://avcdn.av.by/advertmedium/0011/6798/0233.jpg";;
Блок управления сиденьем;2208000878;"Mercedes-Benz";S-Класс;2002;W220;;;Дизель;3200;;;АКПП;;;AV102705128;0;;30;BYN;;;Минск;375293376475,375259384524;"https://avcdn.av.by/advertmedium/0011/6797/9997.jpg";;
